partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
862,2,khx4DTJ23wg5obnj2Jgh,24565,2,{'244': 111.111},111.111,24632
862,2,a08Gg66vY8kMsXuBONnq,24565,2,{'244': 120000.0},120000.0,24632
862,2,L4SMaD4qSpzvlOBp5PB1,24565,1,{'244': 340000.0},340000.0,24632
927,2,,24645,1,{'268': 100},5719.01,24643
717,2,,24646,1,{'263': 100},996930.0,24633
688,2,,24647,1,{'274': 100},1139407.39,24644
1015,2,,24552,1,{'235': 100},63300.0,24645
671,2,,24648,1,{'282': 100},27830.0,24634
717,2,,24649,1,{'304': 100},1110.0,24646
918,2,,24650,1,{'286': 100},62856.93,24635
769,2,,24651,1,{'230': 100},11570.25,24647
954,2,,24652,1,{'238': 100},8571.77,24636
1013,2,URBKnXbPUlRZVMpImMzv,24565,1,{'247': 15200.0},15200.0,24637
1013,2,TEbl80QVTNK78kFB6WTL,24565,1,{'247': 1800.0},1800.0,24637
911,2,,24653,1,{'235': 100},32397.0,24648
688,2,,24654,1,{'274': 100},712314.9,24638
983,2,,24598,1,{'280': 100},117550.0,24649
717,2,,24655,1,{'235': 100},5830.0,24639
648,2,,24656,1,{'235': 100},2562.3,24650
717,2,,24657,1,{'238': 100},18500.41,24640
832,2,,24658,1,{'223': 100},390000.0,24651
1194,2,OyA4v6Gsdx2BBvxxx1LD,24565,1,{'284': 1200.0},1200.0,24641
1194,2,kNUgD35elUYsixyn1mp0,24565,1,{'284': 1200.0},1200.0,24641
1008,2,xiTMWqBum9wUKtbxIwxn,24558,1,{'218': 123506.59},123506.59,24652
1008,2,Z89N07uqDa39SuveIV6P,24558,1,{'218': 123506.59},123506.59,24652
1008,2,2fG61LagTurzHNkeFMrR,24558,72,{'218': 4650.7},4650.7,24652
1008,2,IqpQe5fUd3Gimsg8cDFV,24558,9,{'218': 137458.7},137458.7,24652
1008,2,EKl6DH9g88E0nXVQUAQu,24558,6,{'218': 17210.0},17210.0,24652
1008,2,IGtSZSz7wOd1C1HTLcvT,24558,8,{'218': 23290.0},23290.0,24652
1008,2,tmeVBqM0Np2CCslNAbzR,24558,8,{'218': 28970.0},28970.0,24652
1008,2,mUvTM1LtH0hYW7VoihLf,24558,2,{'218': 37680.0},37680.0,24652
1008,2,mqE6Yhk0xcgYa612GE6R,24558,3,{'218': 44392.0},44392.0,24652
1008,2,k9o0VjDdeukPwO0Tz7t4,24558,3,{'218': 44392.0},44392.0,24652
1008,2,T3YIT8WwaaDL3nLJCayK,24558,25,{'218': 7840.0},7840.0,24652
1008,2,XyVwzTRWrhCjClPM68FR,24558,1,{'218': 155640.12},155640.12,24652
1008,2,UlPns9lBEk6LlAjuTq6c,24558,24,{'218': 2390.0},2390.0,24652
648,2,tJtaUb7FrZrqB3IF66c9,24565,0.900,{'235': 10950.0},10950.0,24642
